fecha,descripcion,categoria,subcategoria,metodo_pago,importe,moneda,tipo,comercio,etiquetas
2025-01-10,Nómina Empresa X,Ingreso,Nómina,Transferencia,1850.00,EUR,CR,EMPRESA X SL,"salario,fijo"
2025-01-10,Ingreso alquiler habitación,Ingreso,Alquiler,Transferencia,320.00,EUR,CR,INQUILINO HAB101,"alquiler,ingreso_recurrente"
2025-01-10,Gimnasio,Gasto,Salud,Tarjeta crédito,-34.90,EUR,DB,GIMNASIO FIT,"suscripcion,salud"
2025-01-11,Supermercado Lidl,Gasto,Supermercado,Débito,-41.37,EUR,DB,LIDL,"comida,variable"
2025-01-11,Farmacia,Gasto,Salud,Débito,-15.60,EUR,DB,FARMACIA CENTRO,"medicina,salud"
2025-01-12,Recarga móvil,Gasto,Comunicaciones,Débito,-15.00,EUR,DB,VODAFONE,"movil,fijo"
2025-01-12,Uber,Gasto,Transporte,Tarjeta crédito,-9.80,EUR,DB,UBER TRIP,"taxi,variable"
2025-01-13,Transferencia ahorro,Traspaso,Ahorro,Transferencia,-300.00,EUR,DB,CUENTA AHORRO,"ahorro,meta"
2025-01-13,Intereses cuenta ahorro,Ingreso,Intereses,Transferencia,2.15,EUR,CR,BANCO XYZ,"interes,ahorro"
2025-01-13,Transferencia desde cuenta nómina,Traspaso,Ahorro,Transferencia,300.00,EUR,CR,CUENTA NOMINA,"traspaso,interno"
2025-01-14,Desayuno trabajo,Gasto,Ocio,Débito,-4.10,EUR,DB,CAFETERIA OFICINA,"desayuno,pequeño"
2025-01-14,Peaje autopista,Gasto,Transporte,Tarjeta crédito,-5.60,EUR,DB,PEAJE AP4,"carretera,viaje"
2025-01-15,Seguro coche,Gasto,Seguros,Domiciliación,-38.50,EUR,DB,SEGUROS MAPFRE,"seguro,coche"
2025-01-15,Compra ropa,Gasto,Ropa,Tarjeta crédito,-79.99,EUR,DB,ZARA,"ropa,variable"
2025-01-15,Ingreso recurrente alquiler trastero,Ingreso,Alquiler,Transferencia,45.00,EUR,CR,INQUILINO TRA01,"alquiler,ingreso_recurrente"
2025-01-16,Supermercado Carrefour,Gasto,Supermercado,Débito,-68.22,EUR,DB,CARREFOUR,"comida,limpieza"
2025-01-16,Cine,Gasto,Entretenimiento,Tarjeta crédito,-14.00,EUR,DB,CINES NERVION,"cine,ocio"
2025-01-17,Café,Gasto,Ocio,Débito,-1.80,EUR,DB,CAFETERIA BARRIO,"cafe,pequeño"
2025-01-17,Taxi,Gasto,Transporte,Débito,-7.90,EUR,DB,TAXI SEVILLA,"taxi,variable"
2025-01-18,Clases inglés,Gasto,Formación,Transferencia,-60.00,EUR,DB,ACADEMIA LONDON,"formacion,inversion"
2025-01-18,Ingreso extra freelance,Ingreso,Otros,Transferencia,120.00,EUR,CR,CLIENTE FREELANCE,"extra,trabajo"
2025-01-19,Recibo internet,Gasto,Comunicaciones,Domiciliación,-35.00,EUR,DB,ORANGE FIBRA,"internet,fijo"
2025-01-19,Panadería,Gasto,Supermercado,Débito,-5.25,EUR,DB,PANADERIA SOL,"pan,comida"
2025-01-20,Supermercado Mercadona,Gasto,Supermercado,Débito,-52.10,EUR,DB,MERCADONA,"comida,variable"
2025-01-20,Bar tapas,Gasto,Ocio,Tarjeta crédito,-24.60,EUR,DB,BAR TRIANA,"tapas,ocio"
2025-01-21,Parking trabajo,Gasto,Transporte,Débito,-4.00,EUR,DB,APK OFICINA,"parking,trabajo"
2025-01-21,Donación ONG,Gasto,Donaciones,Transferencia,-15.00,EUR,DB,ONG LOCAL,"donacion,solidario"
2025-01-22,Compra libros,Gasto,Formación,Tarjeta crédito,-29.90,EUR,DB,LIBRERIA ALAMEDA,"libros,formacion"
2025-01-22,Bizum recibido cena,Ingreso,Reintegro,Transferencia,18.00,EUR,CR,MARIA GARCIA,"bizum,ocio"
2025-01-22,Transferencia entre cuentas (nómina->broker),Traspaso,Inversión,Transferencia,-200.00,EUR,DB,BROKER XYZ,"inversion,traspaso"
2025-01-22,Abono transferencia desde banco principal,Traspaso,Inversión,Transferencia,200.00,EUR,CR,BANCO PRINCIPAL,"traspaso,inversion"
2025-01-23,Gasolina coche,Gasto,Transporte,Débito,-48.70,EUR,DB,CEPSA,"coche,variable"
2025-01-23,Supermercado Lidl,Gasto,Supermercado,Débito,-39.85,EUR,DB,LIDL,"comida,variable"
2025-01-24,Recibo gimnasio,Gasto,Salud,Domiciliación,-34.90,EUR,DB,GIMNASIO FIT,"suscripcion,salud"
2025-01-24,Compra electrónica,Gasto,Otros,Tarjeta crédito,-119.00,EUR,DB,MEDIA MARKT,"electronica,capricho"
2025-01-25,Nómina Empresa X,Ingreso,Nómina,Transferencia,1850.00,EUR,CR,EMPRESA X SL,"salario,fijo"
2025-01-25,Ingreso alquiler habitación,Ingreso,Alquiler,Transferencia,320.00,EUR,CR,INQUILINO HAB101,"alquiler,ingreso_recurrente"
2025-01-25,Transferencia a ahorro,Traspaso,Ahorro,Transferencia,-200.00,EUR,DB,CUENTA AHORRO,"ahorro,meta"
2025-01-25,Ingreso desde cuenta nómina (ahorro),Traspaso,Ahorro,Transferencia,200.00,EUR,CR,CUENTA NOMINA,"traspaso,interno"
2025-01-26,Supermercado Mercadona,Gasto,Supermercado,Débito,-46.33,EUR,DB,MERCADONA,"comida,variable"
2025-01-26,Restaurante comida,Gasto,Ocio,Tarjeta crédito,-21.40,EUR,DB,RESTAURANTE CENTRO,"restaurante,ocio"
2025-01-27,Taxi aeropuerto,Gasto,Transporte,Débito,-19.90,EUR,DB,TAXI SEVILLA,"taxi,viaje"
2025-01-27,Hotel fin de semana,Gasto,Viajes,Tarjeta crédito,-160.00,EUR,DB,HOTEL COSTA,"viaje,ocio"
2025-01-28,Desayuno hotel,Gasto,Ocio,Tarjeta crédito,-8.50,EUR,DB,HOTEL COSTA,"desayuno,viaje"
2025-01-28,Compra souvenirs,Gasto,Viajes,Tarjeta crédito,-24.30,EUR,DB,TIENDA SOUVENIRS,"viaje,regalos"
2025-01-29,Devolución Amazon,Ingreso,Reintegro,Tarjeta crédito,27.99,EUR,CR,AMAZON EU,"devolucion,online"
2025-01-29,Supermercado Carrefour,Gasto,Supermercado,Débito,-63.40,EUR,DB,CARREFOUR,"comida,limpieza"
2025-01-30,Recibo luz,Gasto,Suministros,Domiciliación,-61.10,EUR,DB,ENDESA,"luz,fijo"
2025-01-30,Recibo agua,Gasto,Suministros,Domiciliación,-27.80,EUR,DB,EMASESA,"agua,fijo"
2025-01-31,Intereses cuenta ahorro,Ingreso,Intereses,Transferencia,2.25,EUR,CR,BANCO XYZ,"interes,ahorro"
2025-01-31,Supermercado Lidl,Gasto,Supermercado,Débito,-44.05,EUR,DB,LIDL,"comida,variable"
2025-01-31,Cervezas amigos,Gasto,Ocio,Tarjeta crédito,-18.70,EUR,DB,BAR PLAZA,"ocio,amigos"
2025-01-31,Ingreso recurrente alquiler trastero,Ingreso,Alquiler,Transferencia,45.00,EUR,CR,INQUILINO TRA01,"alquiler,ingreso_recurrente"
